hash,author,date,message,year_month,year
9f955024,David Lord,2023-08-21 16:39:10+00:00,bump werkzeug 2.3.7,2023-08,2023
90967ccb,David Lord,2023-08-21 16:42:21+00:00,bump werkzeug 2.3.7 (#5231),2023-08,2023
5bb30270,David Lord,2023-08-21 16:39:10+00:00,bump werkzeug 2.3.7,2023-08,2023
1d8b53f7,David Lord,2023-08-20 16:32:09+00:00,Split the App and Blueprint into Sansio and IO parts (#5127),2023-08,2023
bc5dd389,pgjones,2023-08-19 18:25:36+00:00,Add a changelog for the sans-io changes,2023-08,2023
31859251,pgjones,2023-08-15 07:29:57+00:00,Add a brief README to the sansio,2023-08,2023
80cf589a,pgjones,2023-08-14 10:10:15+00:00,Correct the error handler typing,2023-08,2023
cc80a47f,pgjones,2023-07-16 13:04:23+00:00,Widen the response typing,2023-07,2023
3f6b243c,pgjones,2023-07-15 22:21:12+00:00,Support async template context processors,2023-07,2023
72c85e80,pgjones,2023-07-15 16:28:04+00:00,Provide an extendable merge blueprint funcs method,2023-07,2023
0ec7f713,pgjones,2023-06-11 14:03:45+00:00,Split the App and Blueprint into Sansio and IO parts,2023-06,2023
a64588f8,pgjones,2023-06-10 11:42:24+00:00,Move file to sansio,2023-06,2023
0e0e8ddc,David Lord,2023-08-16 22:08:52+00:00,remove deprecated code (#5223),2023-08,2023
04994df5,David Lord,2023-08-16 22:00:49+00:00,remove deprecated code,2023-08,2023
6a12b191,David Lord,2023-08-16 21:41:57+00:00,start version 3.0.0,2023-08,2023
9e9acfb3,David Lord,2023-08-16 21:30:03+00:00,Merge branch '2.3.x',2023-08,2023
02736640,David Lord,2023-08-16 21:29:39+00:00,Update dispatch by path example (#5217),2023-08,2023
a887e179,David Lord,2023-08-16 21:25:53+00:00,clean up,2023-08,2023
aa6d4c3e,pavithra,2023-08-13 12:12:25+00:00,update dispatch-by-path example,2023-08,2023
6d49a1e4,David Lord,2023-08-16 20:38:05+00:00,Merge branch '2.3.x',2023-08,2023
826514b8,David Lord,2023-08-16 20:37:56+00:00,fix flake8 bugbear findings,2023-08,2023
c49ce2e1,David Lord,2023-08-16 20:37:26+00:00,fix flake8 bugbear findings,2023-08,2023
3237fff4,David Lord,2023-08-16 20:35:46+00:00,Merge branch '2.3.x',2023-08,2023
6d266f63,David Lord,2023-08-16 20:35:13+00:00,Pass maxsplit via kwarg to re.split (#5215),2023-08,2023
17e146ad,hauntsaninja,2023-08-08 09:10:49+00:00,Pass maxsplit via kwarg to re.split,2023-08,2023
80ae10f4,David Lord,2023-08-16 20:30:18+00:00,update dev requirements,2023-08,2023
7d399e80,David Lord,2023-08-16 20:29:25+00:00,Merge branch '2.3.x',2023-08,2023
b1385919,David Lord,2023-08-01 16:59:06+00:00,Bump pypa/gh-action-pypi-publish from 1.8.7 to 1.8.8 (#5213),2023-08,2023
6a5277d3,David Lord,2023-08-01 16:58:55+00:00,Bump actions/setup-python from 4.6.1 to 4.7.0 (#5212),2023-08,2023
dcc86ebf,dependabot[bot],2023-08-01 16:56:22+00:00,Bump pypa/gh-action-pypi-publish from 1.8.7 to 1.8.8,2023-08,2023
180ff885,dependabot[bot],2023-08-01 16:56:18+00:00,Bump actions/setup-python from 4.6.1 to 4.7.0,2023-08,2023
8a72b741,David Lord,2023-08-01 16:17:47+00:00,[pre-commit.ci] pre-commit autoupdate (#5211),2023-08,2023
7255be96,pre-commit-ci[bot],2023-08-01 08:45:55+00:00,[pre-commit.ci] pre-commit autoupdate,2023-08,2023
f215de03,David Lord,2023-07-04 13:18:22+00:00,[pre-commit.ci] pre-commit autoupdate (#5187),2023-07,2023
65bc7636,pre-commit-ci[bot],2023-07-04 06:36:29+00:00,[pre-commit.ci] pre-commit autoupdate,2023-07,2023
a0db8908,David Lord,2023-07-03 12:58:14+00:00,Update install.rst with required description (#5182),2023-07,2023
11da927f,Pamela Fox,2023-07-01 14:09:51+00:00,Update install.rst with required description,2023-07,2023
cb825687,David Lord,2023-07-01 16:24:20+00:00,Bump actions/checkout from 3.5.2 to 3.5.3 (#5186),2023-07,2023
51bf0fdd,David Lord,2023-07-01 16:24:11+00:00,Bump slsa-framework/slsa-github-generator from 1.6.0 to 1.7.0 (#5185),2023-07,2023
0da5788e,David Lord,2023-07-01 16:23:57+00:00,Bump dessant/lock-threads from 4.0.0 to 4.0.1 (#5184),2023-07,2023
326484a8,David Lord,2023-07-01 16:23:35+00:00,Bump pypa/gh-action-pypi-publish from 1.8.6 to 1.8.7 (#5183),2023-07,2023
1ce4d95d,dependabot[bot],2023-07-01 16:16:28+00:00,Bump actions/checkout from 3.5.2 to 3.5.3,2023-07,2023
1fb18863,dependabot[bot],2023-07-01 16:16:25+00:00,Bump slsa-framework/slsa-github-generator from 1.6.0 to 1.7.0,2023-07,2023
f62580b9,dependabot[bot],2023-07-01 16:16:22+00:00,Bump dessant/lock-threads from 4.0.0 to 4.0.1,2023-07,2023
47a89da5,dependabot[bot],2023-07-01 16:16:19+00:00,Bump pypa/gh-action-pypi-publish from 1.8.6 to 1.8.7,2023-07,2023
09789f2a,David Lord,2023-06-30 00:28:25+00:00,fix typo in errorhandling doc (#5180),2023-06,2023
aea13d5a,ToolMoney,2023-06-30 00:20:35+00:00,fix typo in errorhandling doc,2023-06,2023
15a0d4af,David Lord,2023-06-27 21:18:56+00:00,Merge branch '2.3.x',2023-06,2023
f39c7160,David Lord,2023-06-27 21:18:18+00:00,remove manifest.in,2023-06,2023
3c85ec95,David Lord,2023-06-27 21:17:46+00:00,use flit_core as build backend (#5177),2023-06,2023
6b9acd56,David Lord,2023-06-27 21:11:18+00:00,switch docs to flit,2023-06,2023
46b32885,David Lord,2023-06-27 21:03:41+00:00,switch examples to flit,2023-06,2023
f38f3a74,David Lord,2023-06-27 21:03:25+00:00,switch to flit build backend,2023-06,2023
b1bdd975,David Lord,2023-06-27 15:30:43+00:00,Merge branch '2.3.x',2023-06,2023
d67c47b8,David Lord,2023-06-27 15:29:41+00:00,simplify tox config,2023-06,2023
7bfbcfab,David Lord,2023-06-27 14:42:06+00:00,Merge branch '2.3.x',2023-06,2023
8933d754,David Lord,2023-06-27 14:41:15+00:00,update pypy test version,2023-06,2023
cc55d7b3,David Lord,2023-06-27 14:11:37+00:00,Merge branch '2.3.x',2023-06,2023
aca7d563,David Lord,2023-06-27 14:11:22+00:00,update dependencies,2023-06,2023
ec2b2394,David Lord,2023-06-21 16:32:37+00:00,update import of declarative_base from SQLAlchemy (#5171),2023-06,2023
a7ae372f,mohammad m. moniri,2023-06-21 14:54:33+00:00,update import of declarative_base from SQLAlchemy,2023-06,2023
4bcd4be6,David Lord,2023-06-09 16:41:25+00:00,Merge branch '2.3.x',2023-06,2023
8e33b7b3,David Lord,2023-06-09 16:41:17+00:00,update werkzeug requirement,2023-06,2023
4be9f521,David Lord,2023-06-09 16:38:59+00:00,fix use of `importlib.util.find_spec` (#5161),2023-06,2023
bda295d3,David Lord,2023-06-09 16:34:42+00:00,fix use of importlib.util.find_spec,2023-06,2023
4d6ae827,David Lord,2023-06-08 21:33:28+00:00,Merge branch '2.3.x',2023-06,2023
c8cf4694,David Lord,2023-06-08 21:33:16+00:00,unpin sphinx and sphinx-tabs,2023-06,2023
935ee742,David Lord,2023-06-07 20:22:15+00:00,Merge branch '2.3.x',2023-06,2023
9930b0fe,David Lord,2023-06-07 20:21:49+00:00,Python 3.12 compatibility (#5157),2023-06,2023
ed8ddb6a,David Lord,2023-06-07 20:09:07+00:00,update werkzeug to 2.3.5,2023-06,2023
84e11a1e,David Lord,2023-06-07 20:07:41+00:00,use importlib instead of pkgutil,2023-06,2023
367e1df7,David Lord,2023-06-07 20:10:39+00:00,start version 2.3.3,2023-06,2023
2be71d32,David Lord,2023-06-07 19:53:30+00:00,[pre-commit.ci] pre-commit autoupdate (#5154),2023-06,2023
d614d6bf,David Lord,2023-06-06 16:30:34+00:00,ignore pytest ast warnings,2023-06,2023
32d2f47e,pre-commit-ci[bot],2023-06-06 04:21:31+00:00,[pre-commit.ci] pre-commit autoupdate,2023-06,2023
c9b6110d,David Lord,2023-06-06 16:26:05+00:00,Merge branch '2.3.x',2023-06,2023
7dbb2f7e,David Lord,2023-06-06 16:25:47+00:00,retarget pre-commit.ci,2023-06,2023
a3e4013f,David Lord,2023-06-01 18:49:16+00:00,Bump actions/setup-python from 4.6.0 to 4.6.1 (#5150),2023-06,2023
fb20cbbf,David Lord,2023-06-01 18:47:53+00:00,Bump pypa/gh-action-pypi-publish from 1.8.5 to 1.8.6 (#5149),2023-06,2023
c49757a4,David Lord,2023-06-01 18:46:49+00:00,Bump slsa-framework/slsa-github-generator from 1.5.0 to 1.6.0 (#5148),2023-06,2023
18e703bc,dependabot[bot],2023-06-01 16:56:50+00:00,Bump actions/setup-python from 4.6.0 to 4.6.1,2023-06,2023
fc74a114,dependabot[bot],2023-06-01 16:56:46+00:00,Bump pypa/gh-action-pypi-publish from 1.8.5 to 1.8.6,2023-06,2023
40f31c30,dependabot[bot],2023-06-01 16:56:43+00:00,Bump slsa-framework/slsa-github-generator from 1.5.0 to 1.6.0,2023-06,2023
31fd9c87,David Lord,2023-05-31 16:19:14+00:00,Merge branch '2.3.x',2023-05,2023
38f02e04,David Lord,2023-05-31 16:18:33+00:00,update metadata,2023-05,2023
e7264776,David Lord,2023-05-31 16:17:51+00:00,update dependencies,2023-05,2023
ae07dead,David Lord,2023-05-31 16:14:56+00:00,Merge pull request #5140 from Jeroendevr/patch-1,2023-05,2023
0f477df8,Jeroendevr,2023-05-24 09:13:36+00:00,Config from Data Files to match from_file API,2023-05,2023
55332be3,Pedro Guilherme S. Moreira,2023-05-18 12:33:44+00:00,docs: fix wrong JS syntax (#5136),2023-05,2023
b80baaf3,David Lord,2023-05-14 16:43:35+00:00,Merge pull request #5126 from pgjones/pathlike,2023-05,2023
2abb7513,pgjones,2023-05-14 15:09:25+00:00,Allow for PathLike types for config file variables,2023-05,2023
d0bf4628,David Lord,2023-05-09 19:38:00+00:00,Merge branch '2.3.x',2023-05,2023
4911012c,David Lord,2023-05-09 19:37:33+00:00,update workflows,2023-05,2023
57e926c7,David Lord,2023-05-02 17:42:04+00:00,Merge branch '2.3.x',2023-05,2023
859d6390,David Lord,2023-05-02 17:41:41+00:00,Merge pull request #5111 from pallets/update-tests,2023-05,2023
0a00e1b6,David Lord,2023-05-02 17:38:27+00:00,use tmp_path instead of tmpdir,2023-05,2023
1d7281fe,David Lord,2023-05-02 16:53:31+00:00,remove egg test,2023-05,2023
e374853c,David Lord,2023-05-02 14:52:49+00:00,Merge branch '2.3.x',2023-05,2023
97c83019,David Lord,2023-05-02 14:50:30+00:00,Merge branch '2.2.x' into 2.3.x,2023-05,2023
bda08b11,David Lord,2023-05-02 14:43:48+00:00,Merge pull request #5110 from pallets/release-2.2.5,2023-05,2023
47af817c,David Lord,2023-05-02 14:35:27+00:00,release version 2.2.5,2023-05,2023
afd63b16,David Lord,2023-05-02 14:18:08+00:00,Merge pull request #5109 from pallets/backport-vary-cookie,2023-05,2023
ca12e8eb,David Lord,2023-05-02 14:17:52+00:00,update dependencies,2023-05,2023
8646edca,David Lord,2023-05-01 15:01:32+00:00,set `Vary: Cookie` header consistently for session,2023-05,2023
a6367dac,David Lord,2023-05-02 14:12:59+00:00,Merge pull request #5108 from pallets/werkzeug-compat,2023-05,2023
3fbfbad7,David Lord,2023-05-02 14:05:51+00:00,werkzeug 2.3.3 compatibility,2023-05,2023
726d3f4f,David Lord,2023-05-02 13:56:08+00:00,start version 2.2.5,2023-05,2023
7b310992,David Lord,2023-05-01 17:22:01+00:00,Merge pull request #5106 from pallets/dependabot/github_actions/pypa/gh-action-pypi-publish-1.8.5,2023-05,2023
723091b9,David Lord,2023-05-01 17:21:02+00:00,Merge pull request #5104 from pallets/dependabot/github_actions/actions/checkout-3.5.2,2023-05,2023
dcd25d8f,dependabot[bot],2023-05-01 17:18:16+00:00,Bump actions/checkout from 3.5.0 to 3.5.2,2023-05,2023
1e160c19,David Lord,2023-05-01 17:17:25+00:00,Merge pull request #5105 from pallets/dependabot/github_actions/actions/setup-python-4.6.0,2023-05,2023
ec8ca691,dependabot[bot],2023-05-01 16:57:14+00:00,Bump pypa/gh-action-pypi-publish from 1.8.4 to 1.8.5,2023-05,2023
b7b753b9,dependabot[bot],2023-05-01 16:57:10+00:00,Bump actions/setup-python from 4.5.0 to 4.6.0,2023-05,2023
0afeb1d1,David Lord,2023-05-01 16:01:40+00:00,fix release date,2023-05,2023
4cf8b78c,David Lord,2023-05-01 15:42:27+00:00,Merge pull request #5102 from pallets/release-2.3.2,2023-05,2023
f3b8f570,David Lord,2023-05-01 15:32:16+00:00,release version 2.3.2,2023-05,2023
c990bba9,David Lord,2023-05-01 15:35:01+00:00,update min test env,2023-05,2023
adedb2a6,David Lord,2023-05-01 15:22:58+00:00,Merge pull request #5101 from pallets/update-werkzeug,2023-05,2023
e1aedecd,David Lord,2023-05-01 15:18:03+00:00,update werkzeug,2023-05,2023
37badc3c,David Lord,2023-05-01 15:13:12+00:00,update changelog,2023-05,2023
70f906c5,David Lord,2023-05-01 15:11:41+00:00,Merge pull request from GHSA-m2qf-hxjv-5gpq,2023-05,2023
8705dd39,David Lord,2023-05-01 15:01:32+00:00,set `Vary: Cookie` header consistently for session,2023-05,2023
9532cba4,David Lord,2023-05-01 15:10:25+00:00,fix mypy finding,2023-05,2023
0bc7356c,David Lord,2023-05-01 15:02:46+00:00,start version 2.3.2,2023-05,2023
f07fb2b6,David Lord,2023-04-25 21:21:36+00:00,Merge pull request #5086 from pallets/release-2.3.1,2023-04,2023
721abdc3,David Lord,2023-04-25 20:08:38+00:00,release version 2.3.1,2023-04,2023
0867dce4,David Lord,2023-04-25 20:06:22+00:00,Merge pull request #5085 from lucaswerkmeister/patch-1,2023-04,2023
0ec9192c,Lucas Werkmeister,2023-04-25 19:10:05+00:00,fix importing Markup from flask,2023-04,2023
345f1844,David Lord,2023-04-25 19:48:16+00:00,start version 2.3.1,2023-04,2023
5f407242,David Lord,2023-04-25 18:42:22+00:00,Merge pull request #5083 from pallets/release-2.3.0,2023-04,2023
8728c3e4,David Lord,2023-04-25 18:35:06+00:00,release version 2.3.0,2023-04,2023
eb33b8c8,David Lord,2023-04-25 18:33:30+00:00,Merge pull request #5082 from pallets/minimum-requirements,2023-04,2023
79ebf6c3,David Lord,2023-04-25 18:27:06+00:00,update minimum requirements,2023-04,2023
73739a29,David Lord,2023-04-25 17:55:41+00:00,Merge branch '2.2.x',2023-04,2023
ddc7acca,David Lord,2023-04-25 17:53:09+00:00,Merge pull request #5081 from pallets/release-2.2.4,2023-04,2023
cd1b68cf,David Lord,2023-04-25 17:41:20+00:00,Merge branch '2.2.x',2023-04,2023
74e03298,David Lord,2023-04-25 17:02:28+00:00,release version 2.2.4,2023-04,2023
2d460685,David Lord,2023-04-25 17:06:20+00:00,update dev env,2023-04,2023
64bc4587,David Lord,2023-04-25 17:40:57+00:00,update dev dependencies,2023-04,2023
427e5dc4,David Lord,2023-04-25 17:00:01+00:00,update dev env,2023-04,2023
0c5f18ab,David Lord,2023-04-24 18:21:42+00:00,Merge pull request #5077 from EtiennePelletier/master,2023-04,2023
d48deba2,EtiennePelletier,2023-04-24 17:06:27+00:00,Remove double period in signals documentation page,2023-04,2023
2b2a7641,David Lord,2023-04-20 18:49:26+00:00,Merge pull request #5073 from pallets/new-logo,2023-04,2023
83d777be,David Lord,2023-04-20 18:34:48+00:00,use new logo,2023-04,2023
b4345cb4,David Lord,2023-04-20 18:11:52+00:00,Merge pull request #5072 from pallets/drop-py37,2023-04,2023
2e8fe7b2,David Lord,2023-04-20 18:07:30+00:00,drop support for python 3.7,2023-04,2023
9659b11a,David Lord,2023-04-20 17:05:53+00:00,remove pypy 3.8 and 3.7 from tests,2023-04,2023
f139024b,David Lord,2023-04-20 16:53:38+00:00,remove old links,2023-04,2023
a4ea5df5,David Lord,2023-04-20 16:36:51+00:00,Merge pull request #5071 from pallets/future-annotations,2023-04,2023
44ffe6c6,David Lord,2023-04-20 15:30:45+00:00,add __future__ annotations,2023-04,2023
cfa863c3,David Lord,2023-04-15 19:30:20+00:00,Merge branch '2.2.x',2023-04,2023
db7d2d2d,David Lord,2023-04-15 19:27:24+00:00,Merge pull request #5067 from pallets/tox-constraints,2023-04,2023
a67195e0,David Lord,2023-04-15 19:25:09+00:00,update dependencies,2023-04,2023
7e6e68ae,David Lord,2023-04-15 19:20:57+00:00,enforce minimum versions in env,2023-04,2023
a1d0eda7,David Lord,2023-04-15 18:57:46+00:00,Merge pull request #5066 from pallets/docs-passthrough,2023-04,2023
5bba529d,David Lord,2023-04-15 18:53:06+00:00,document passthrough_errors,2023-04,2023
9a4d370e,David Lord,2023-04-15 14:39:35+00:00,fix typo,2023-04,2023
6931b252,David Lord,2023-04-14 16:45:20+00:00,Merge pull request #5063 from pallets/cli-routes-domain,2023-04,2023
84c007d3,David Lord,2023-04-14 16:34:26+00:00,show subdomain or host in routes output,2023-04,2023
182ce3dd,emisargent,2023-04-13 17:03:49+00:00,Add a devcontainer configuration (#4969),2023-04,2023
49498a32,David Lord,2023-04-13 15:24:58+00:00,Merge pull request #5059 from pallets/oidc-publish,2023-04,2023
f7d9956c,David Lord,2023-04-13 15:18:14+00:00,use oidc instead of token,2023-04,2023
59f81950,David Lord,2023-04-13 15:08:27+00:00,Merge pull request #5049 from pgjones/signals,2023-04,2023
8239765a,pgjones,2023-04-10 09:21:13+00:00,allow async signal receivers,2023-04,2023
a05c0c6b,David Lord,2023-04-13 14:51:11+00:00,Merge pull request #5058 from pallets/require-blinker,2023-04,2023
9cb1a7a5,David Lord,2023-04-13 14:34:14+00:00,"blinker is required, signals are always available",2023-04,2023
e1e4e820,David Lord,2023-04-12 20:43:23+00:00,Merge pull request #5034 from adamtheturtle/default-mimetype-optional,2023-04,2023
b626a938,Adam Dangoor,2023-03-26 13:38:11+00:00,Allow Response subclasses to set default_mimetype as None,2023-03,2023
87698a2d,David Lord,2023-04-12 20:29:05+00:00,Merge pull request #5029 from lettow-humain/main,2023-04,2023
c67bfe55,lettow-humain,2023-03-17 10:58:49+00:00,fix parentheses,2023-03,2023
c9a5660c,David Lord,2023-04-12 20:10:34+00:00,Merge pull request #5054 from pallets/session-domain,2023-04,2023
c24f8c81,David Lord,2023-04-12 19:38:22+00:00,no cookie domain by default,2023-04,2023
fa0ceb62,David Lord,2023-04-12 17:57:53+00:00,Merge branch '2.2.x',2023-04,2023
694183ce,David Lord,2023-04-12 17:57:14+00:00,Merge pull request #5053 from pallets/werkzeug-compat,2023-04,2023
04c21387,David Lord,2023-04-12 17:33:52+00:00,update test cookie handling for Werkzeug 2.3,2023-04,2023
67c4c7ba,David Lord,2023-04-11 22:34:39+00:00,ignore warning from pytest due to change in Python 3.12 alpha,2023-04,2023
e39d78a0,David Lord,2023-04-11 22:33:44+00:00,Merge branch '2.2.x',2023-04,2023
a30b6e72,David Lord,2023-04-11 22:33:34+00:00,update dependencies,2023-04,2023
daf6966c,David Lord,2023-04-05 21:56:26+00:00,Merge pull request #5037 from pamelafox/patch-1,2023-04,2023
c4f754cd,David Lord,2023-04-04 14:00:49+00:00,Merge pull request #5041 from pallets/pre-commit-ci-update-config,2023-04,2023
d2a6f5c5,pre-commit-ci[bot],2023-04-04 06:31:29+00:00,[pre-commit.ci] pre-commit autoupdate,2023-04,2023
a361ef63,David Lord,2023-04-03 13:19:09+00:00,Merge pull request #5038 from pallets/dependabot/github_actions/pypa/gh-action-pypi-publish-1.8.4,2023-04,2023
c2688e4f,David Lord,2023-04-03 13:18:57+00:00,Merge pull request #5040 from pallets/dependabot/github_actions/actions/cache-3.3.1,2023-04,2023
e8178f7b,David Lord,2023-04-03 13:18:45+00:00,Merge pull request #5039 from pallets/dependabot/github_actions/actions/checkout-3.5.0,2023-04,2023
4909e8ff,dependabot[bot],2023-04-01 16:57:11+00:00,Bump actions/cache from 3.2.6 to 3.3.1,2023-04,2023
6a6c8378,dependabot[bot],2023-04-01 16:57:06+00:00,Bump actions/checkout from 3.3.0 to 3.5.0,2023-04,2023
29676a27,dependabot[bot],2023-04-01 16:57:01+00:00,Bump pypa/gh-action-pypi-publish from 1.6.4 to 1.8.4,2023-04,2023
15f2ca2c,Pamela Fox,2023-03-31 19:20:27+00:00,Update appfactories.rst,2023-03,2023
7ed89d3f,David Lord,2023-03-11 16:34:56+00:00,Merge pull request #5014 from evgenymozhaev/require-a-non-empty-name-for-blueprints,2023-03,2023
b8b41001,Evgeny Mozhaev,2023-03-04 18:09:34+00:00,require a non-empty name for blueprints,2023-03,2023
7ee9ceb7,David Lord,2023-03-11 16:23:08+00:00,Merge branch '2.2.x',2023-03,2023
cac56a2b,David Lord,2023-03-11 16:21:58+00:00,Merge pull request #5026 from pallets/werkzeug-compat,2023-03,2023
c4b39ba2,David Lord,2023-03-11 16:16:19+00:00,replace werkzeug.urls with urllib.parse,2023-03,2023
e7f8ae01,David Lord,2023-03-11 15:41:19+00:00,Merge pull request #5025 from pallets/update-requirements,2023-03,2023
1432cddb,David Lord,2023-03-11 15:36:51+00:00,update requirements,2023-03,2023
c83f6614,David Lord,2023-03-11 15:32:12+00:00,Merge pull request #5024 from pallets/docs-sentry,2023-03,2023
31022056,David Lord,2023-03-11 15:29:51+00:00,remove broken link,2023-03,2023
